plot	longitude	latitude
H01	387453	396471
H01	387448	396492
H01	387454	396494
H01	387457	396474
H02	387507	396633
H02	387508	396654
H02	387571	396653
H02	387518	396635
H03	387472	396671
H03	387472	396683
H03	387479	396683
H03	387480	396673
H04	387372	396659
H04	387371	396671
H04	387399	396667
H04	387402	396657
H05	387363	396667
H05	387362	396690
H05	387369	396692
H05	387366	396666
H08	387511	396411
H08	387488	396426
H08	387489	396430
H08	387513	396415
H09	387516	396426
H09	387499	396436
H09	387501	396440
H09	387519	396415
H10	387522	396679
H10	387519	396685
H10	387546	396699
H10	387550	396696
H13	387312	396788
H13	387318	396718
H13	387322	396796
H13	387316	396786
HC1	387459	395719
HC1	387462	395727
HC1	387474	395723
HC1	387472	395715
HC2a	387621	395599
HC2a	387622	395614
HC2a	387625	395613
HC2a	387622	395599
HC2b	387627	395584
HC2b	387637	395592
HC2b	387642	395588
HC2b	387632	395579
HC3	387548	395794
HC4	387650	395734
HC4	387657	395738
HC4	387668	395722
HC4	387663	395715
HC5	387881	395948
HC5	387881	395961
HC5	387886	395963
HC5	387886	395948
HC6	387918	396049
HC6	387908	396070
HC6	387917	396072
HC6	387925	396043
